500 1000 150
64 223 14272 2
94 278 26132 6
73 253 18469 4
80 293 23440 6
72 251 18072 2
92 234 21528 2
90 178 16020 2
96 290 27840 2
106 168 17808 1
101 161 16261 1
93 162 15066 2
106 149 15794 1
141 161 22701 1
92 151 13892 6
131 135 17685 2
72 323 23256 8
147 178 26166 1
152 360 54720 2
151 299 45149 2
87 260 22620 2
170 188 31960 4
87 146 12702 4
148 360 53280 2
116 318 36888 2
88 158 13904 2
126 336 42336 4
59 376 22184 1
35 366 12810 1
71 150 10650 1
110 129 14190 1
44 125 5500 1
225 364 81900 1
96 161 15456 1
46 172 7912 1
87 131 11397 1
67 117 7839 1
75 105 7875 1
63 117 7371 1
95 199 18905 1
70 121 8470 1
77 260 20020 2
55 135 7425 2
82 113 9266 1
131 231 30261 2
78 188 14664 2
40 131 5240 1
65 260 16900 2
68 177 12036 1
69 94 6486 2
58 323 18734 6
77 240 18480 2
69 160 11040 3
71 313 22223 1
94 318 29892 1
166 233 38678 1
147 389 57183 1
69 266 18354 1
84 306 25704 1
75 82 6150 1
93 173 16089 1
178 342 60876 1
143 303 43329 6
151 171 25821 2
141 167 23547 4
179 343 61397 7
127 145 18415 4
162 339 54918 6
123 299 36777 3
224 311 69664 3
162 174 28188 2
176 354 62304 8
117 314 36738 2
113 147 16611 6
139 357 49623 4
162 349 56538 2
143 358 51194 2
148 328 48544 1
115 172 19780 2
74 114 8436 2
201 320 64320 1
200 319 63800 1
200 323 64600 2
205 342 70110 2
242 355 85910 2
139 300 41700 3
149 303 45147 2
156 336 52416 2
164 307 50348 2
212 330 69960 2
102 129 13158 2
140 297 41580 4
184 343 63112 4
125 308 38500 6
139 141 19599 2
154 321 49434 6
129 207 26703 2
123 146 17958 8
152 343 52136 2
90 352 31680 2
128 323 41344 2
216 327 70632 2
146 322 47012 2
139 338 46982 2
142 199 28258 2
164 342 56088 2
157 153 24021 2
116 162 18792 2
86 143 12298 2
97 175 16975 2
111 144 15984 2
197 323 63631 2
239 379 90581 2
220 351 77220 2
253 365 92345 2
219 311 68109 2
211 296 62456 2
136 342 46512 2
177 304 53808 2
136 329 44744 4
104 134 13936 2
130 311 40430 4
130 126 16380 6
169 301 50869 2
164 359 58876 2
157 300 47100 2
174 184 32016 2
156 209 32604 2
126 233 29358 2
80 145 11600 2
182 270 49140 2
184 355 65320 8
100 344 34400 2
52 112 5824 1
61 196 11956 3
78 90 7020 1
68 92 6256 1
41 62 2542 1
78 195 15210 2
98 350 34300 1
43 374 16082 2
104 360 37440 1
78 227 17706 8
72 287 20664 2
107 296 31672 1
96 191 18336 2
88 158 13904 2
159 200 31800 2
73 163 11899 6
72 177 12744 4
87 238 20706 2
