1000 2000 150
164 197 32308 2
199 624 124176 2
198 455 90090 1
164 677 111028 2
129 163 21027 2
245 425 104125 1
180 474 85320 1
206 467 96202 2
189 271 51219 1
102 433 44166 1
199 624 124176 1
140 586 82040 4
281 301 84581 3
146 680 99280 10
125 346 43250 10
356 424 150944 1
245 751 183995 1
204 375 76500 6
144 384 55296 3
226 647 146222 1
235 482 113270 2
220 484 106480 10
204 279 56916 2
428 719 307732 2
453 719 325707 2
379 628 238012 2
138 249 34362 2
306 730 223380 2
349 707 246743 1
445 690 307050 2
345 725 250125 2
297 371 110187 2
271 667 180757 1
259 620 160580 12
234 315 73710 2
150 237 35550 2
336 625 210000 8
242 717 173514 4
318 732 232776 2
372 635 236220 2
131 124 16244 8
353 623 219919 2
270 584 157680 2
283 613 173479 2
228 644 146832 4
325 647 210275 2
407 764 310948 6
379 701 265679 2
370 755 279350 4
217 318 69006 2
218 626 136468 2
372 660 245520 4
321 755 242355 2
336 304 102144 2
221 249 55029 2
409 637 260533 4
264 375 99000 2
229 401 91829 4
159 234 37206 2
362 694 251228 2
228 649 147972 6
430 586 251980 2
463 667 308821 2
185 221 40885 2
380 442 167960 8
373 429 160017 6
321 401 128721 34
193 193 37249 2
173 207 35811 2
334 345 115230 4
301 315 94815 2
124 313 38812 4
119 380 45220 2
472 670 316240 1
296 584 172864 4
260 615 159900 1
219 698 152862 6
286 640 183040 2
256 270 69120 2
302 595 179690 3
212 370 78440 4
297 651 193347 3
299 618 184782 1
248 638 158224 4
261 328 85608 2
363 576 209088 2
287 602 172774 2
226 713 161138 2
164 295 48380 8
301 649 195349 8
492 689 338988 2
308 629 193732 1
366 641 234606 1
254 642 163068 2
295 696 205320 4
235 261 61335 2
357 487 173859 2
247 654 161538 2
231 311 71841 2
212 346 73352 2
401 390 156390 2
219 738 161622 2
386 433 167138 2
284 450 127800 2
308 630 194040 2
225 378 85050 2
199 340 67660 2
198 683 135234 4
346 672 232512 2
196 321 62916 2
350 632 221200 2
205 298 61090 2
260 752 195520 2
293 346 101378 2
262 331 86722 2
264 259 68376 2
339 598 202722 2
311 690 214590 2
274 657 180018 2
263 650 170950 2
195 661 128895 2
188 260 48880 2
241 264 63624 2
412 403 166036 2
392 456 178752 2
243 648 157464 2
215 657 141255 8
210 729 153090 16
298 432 128736 1
240 613 147120 1
287 295 84665 3
237 761 180357 1
213 673 143349 4
232 348 80736 2
230 377 86710 1
319 382 121858 1
253 490 123970 1
155 230 35650 2
193 400 77200 2
155 410 63550 2
141 434 61194 2
279 407 113553 2
281 610 171410 1
244 583 142252 1
232 357 82824 2
230 359 82570 1
247 400 98800 2
245 262 64190 2
332 607 201524 2
212 673 142676 2
