500 1000 100
112 180 20160 1
129 196 25284 2
52 97 5044 1
61 174 10614 2
77 174 13398 2
85 182 15470 1
59 154 9086 1
91 297 27027 1
118 167 19706 1
112 241 26992 1
100 251 25100 1
132 333 43956 1
105 216 22680 1
73 177 12921 6
41 207 8487 1
62 193 11966 1
72 255 18360 2
63 202 12726 2
46 245 11270 2
59 228 13452 2
74 203 15022 3
98 159 15582 1
110 145 15950 1
96 242 23232 4
74 127 9398 1
125 280 35000 1
78 120 9360 2
113 254 28702 1
85 172 14620 3
76 95 7220 3
99 91 9009 2
99 303 29997 2
109 196 21364 1
81 338 27378 2
72 90 6480 2
146 240 35040 1
95 198 18810 1
102 231 23562 2
114 125 14250 1
49 212 10388 1
109 349 38041 1
67 298 19966 4
140 179 25060 3
85 360 30600 10
65 191 12415 10
174 222 38628 1
135 354 47790 1
98 190 18620 6
66 207 13662 3
118 337 39766 1
109 236 25724 2
100 209 20900 10
113 132 14916 2
235 298 70030 2
186 346 64356 2
177 356 63012 2
64 134 8576 2
153 331 50643 2
166 330 54780 1
241 341 82181 2
188 304 57152 2
166 191 31706 2
149 336 50064 1
150 352 52800 12
117 159 18603 2
69 119 8211 2
153 329 50337 8
124 313 38812 4
157 366 57462 2
207 354 73278 2
64 61 3904 8
190 343 65170 2
127 336 42672 2
137 303 41511 4
127 310 39370 4
147 310 45570 2
224 337 75488 6
173 357 61761 2
173 309 53457 4
130 148 19240 2
128 323 41344 2
176 353 62128 4
144 356 51264 2
141 168 23688 2
121 120 14520 2
197 327 64419 4
149 168 25032 2
123 175 21525 4
80 133 10640 2
168 299 50232 2
130 333 43290 6
218 349 76082 2
225 356 80100 2
88 107 9416 2
226 232 52432 8
183 198 36234 6
152 202 30704 34
92 99 9108 2
94 106 9964 2
180 195 35100 4
