500 1000 100
125 356 44500 4
126 144 18144 6
196 339 66444 2
174 343 59682 2
168 355 59640 2
154 184 28336 2
160 216 34560 2
107 238 25466 2
85 159 13515 2
193 307 59251 2
178 319 56782 8
99 321 31779 2
53 119 6307 1
65 173 11245 3
82 105 8610 1
69 91 6279 1
47 59 2773 1
66 187 12342 2
104 334 34736 1
41 341 13981 2
117 337 39429 1
84 190 15960 8
78 290 22620 2
109 274 29866 1
94 193 18142 2
97 162 15714 2
138 181 24978 2
70 171 11970 6
77 211 16247 4
90 216 19440 2
84 248 20832 3
90 301 27090 2
82 284 23288 2
80 135 10800 6
63 229 14427 2
61 213 12993 2
67 185 12395 2
67 171 11457 2
93 232 21576 2
89 206 18334 4
99 284 28116 1
83 163 13529 2
85 160 13600 2
78 269 20982 6
100 143 14300 2
87 205 17835 6
104 198 20592 4
94 196 18424 4
85 207 17595 2
86 251 21586 2
117 275 32175 1
97 163 15811 2
98 166 16268 6
87 289 25143 2
80 316 25280 4
68 101 6868 3
110 274 30140 1
39 293 11427 1
92 381 35052 6
101 155 15655 4
41 89 3649 1
105 200 21000 2
103 129 13287 2
105 153 16065 2
80 207 16560 3
71 171 12141 6
108 113 12204 3
73 205 14965 2
65 206 13390 2
84 293 24612 8
78 288 22464 2
109 339 36951 1
107 240 25680 2
108 162 17496 1
107 151 16157 4
124 149 18476 1
133 195 25935 1
65 133 8645 4
66 188 12408 4
67 204 13668 2
71 181 12851 2
61 262 15982 2
143 215 30745 4
57 163 9291 2
92 159 14628 2
87 157 13659 2
91 304 27664 2
111 221 24531 2
63 134 8442 6
48 189 9072 2
88 225 19800 2
50 222 11100 2
48 200 9600 2
94 177 16638 3
73 140 10220 2
92 157 14444 2
71 137 9727 2
50 265 13250 2
51 274 13974 2
41 95 3895 1
