500 1000 100
89 206 18334 4
99 284 28116 1
83 163 13529 2
85 160 13600 2
78 269 20982 6
100 143 14300 2
87 205 17835 6
104 198 20592 4
94 196 18424 4
85 207 17595 2
86 251 21586 2
117 275 32175 1
97 163 15811 2
98 166 16268 6
87 289 25143 2
80 316 25280 4
68 101 6868 3
110 274 30140 1
39 293 11427 1
92 381 35052 6
101 155 15655 4
41 89 3649 1
105 200 21000 2
103 129 13287 2
105 153 16065 2
80 207 16560 3
71 171 12141 6
108 113 12204 3
73 205 14965 2
65 206 13390 2
84 293 24612 8
78 288 22464 2
109 339 36951 1
107 240 25680 2
108 162 17496 1
107 151 16157 4
124 149 18476 1
133 195 25935 1
65 133 8645 4
66 188 12408 4
67 204 13668 2
71 181 12851 2
61 262 15982 2
143 215 30745 4
57 163 9291 2
92 159 14628 2
87 157 13659 2
91 304 27664 2
111 221 24531 2
63 134 8442 6
48 189 9072 2
88 225 19800 2
50 222 11100 2
48 200 9600 2
94 177 16638 3
73 140 10220 2
92 157 14444 2
71 137 9727 2
50 265 13250 2
51 274 13974 2
41 95 3895 1
91 87 7917 1
61 227 13847 2
85 222 18870 4
57 254 14478 2
45 242 10890 2
74 153 11322 1
76 269 20444 1
44 98 4312 1
78 183 14274 6
69 88 6072 2
70 170 11900 2
122 139 16958 1
64 243 15552 2
66 245 16170 2
68 283 19244 6
77 329 25333 2
86 316 27176 4
105 101 10605 2
50 142 7100 2
72 133 9576 3
47 186 8742 4
54 192 10368 2
64 264 16896 4
70 160 11200 6
60 108 6480 1
191 285 54435 1
80 182 14560 4
114 128 14592 1
43 122 5246 1
118 245 28910 1
39 281 10959 1
99 344 34056 4
91 299 27209 3
105 231 24255 3
76 128 9728 2
51 101 5151 1
36 186 6696 2
89 202 17978 2
56 255 14280 2
