1000 2000 50
167 231 38577 1
94 314 29516 2
260 423 109980 1
169 562 94978 2
143 506 72358 4
202 301 60802 2
92 264 24288 2
69 134 9246 2
190 478 90820 2
108 479 51732 2
99 276 27324 2
178 368 65504 4
212 599 126988 1
144 593 85392 4
174 424 73776 4
229 304 69616 3
144 153 22032 1
163 317 51671 3
161 370 59570 3
168 249 41832 1
161 236 37996 1
193 600 115800 1
154 195 30030 2
224 345 77280 4
205 359 73595 4
230 238 54740 4
174 713 124062 2
141 381 53721 4
162 385 62370 4
171 421 71991 6
183 392 71736 6
178 320 56960 2
141 615 86715 2
189 354 66906 6
170 358 60860 3
188 326 61288 1
210 623 130830 1
85 565 48025 1
117 553 64701 6
84 356 29904 1
175 252 44100 1
112 243 27216 2
201 513 103113 2
133 524 69692 2
188 574 107912 2
211 454 95794 1
358 676 242008 1
218 586 127748 1
196 229 44884 2
351 478 167778 1
