500 1000 100
133 195 25935 1
65 133 8645 4
66 188 12408 4
67 204 13668 2
71 181 12851 2
61 262 15982 2
143 215 30745 4
57 163 9291 2
92 159 14628 2
87 157 13659 2
91 304 27664 2
111 221 24531 2
63 134 8442 6
48 189 9072 2
88 225 19800 2
50 222 11100 2
48 200 9600 2
94 177 16638 3
73 140 10220 2
92 157 14444 2
71 137 9727 2
50 265 13250 2
51 274 13974 2
41 95 3895 1
91 87 7917 1
61 227 13847 2
85 222 18870 4
57 254 14478 2
45 242 10890 2
74 153 11322 1
76 269 20444 1
44 98 4312 1
78 183 14274 6
69 88 6072 2
70 170 11900 2
122 139 16958 1
64 243 15552 2
66 245 16170 2
68 283 19244 6
77 329 25333 2
86 316 27176 4
105 101 10605 2
50 142 7100 2
72 133 9576 3
47 186 8742 4
54 192 10368 2
64 264 16896 4
70 160 11200 6
60 108 6480 1
191 285 54435 1
80 182 14560 4
114 128 14592 1
43 122 5246 1
118 245 28910 1
39 281 10959 1
99 344 34056 4
91 299 27209 3
105 231 24255 3
76 128 9728 2
51 101 5151 1
36 186 6696 2
89 202 17978 2
56 255 14280 2
79 170 13430 1
67 215 14405 1
66 205 13530 2
73 211 15403 4
125 317 39625 1
121 258 31218 3
76 298 22648 2
80 139 11120 2
72 136 9792 1
123 177 21771 2
79 259 20461 4
75 141 10575 2
69 78 5382 2
91 86 7826 1
105 164 17220 2
141 332 46812 4
78 115 8970 2
175 270 47250 2
63 201 12663 1
73 292 21316 2
46 228 10488 2
88 235 20680 2
68 233 15844 2
80 205 16400 2
75 328 24600 6
67 315 21105 2
78 222 17316 2
94 204 19176 2
81 198 16038 18
72 186 13392 11
78 128 9984 2
97 118 11446 2
69 121 8349 4
50 200 10000 2
71 180 12780 1
87 175 15225 1
86 155 13330 4
