500 1000 50
73 135 9855 1
95 169 16055 2
125 256 32000 10
128 144 18432 1
257 388 99716 4
283 317 89711 4
269 376 101144 1
269 342 91998 3
128 362 46336 2
152 368 55936 2
101 307 31007 5
107 288 30816 4
86 166 14276 2
206 330 67980 2
159 223 35457 2
120 160 19200 2
125 363 45375 2
256 376 96256 3
155 311 48205 2
159 183 29097 2
170 346 58820 2
135 162 21870 2
175 292 51100 1
98 345 33810 2
145 145 21025 2
150 341 51150 4
96 121 11616 4
144 367 52848 4
147 353 51891 2
160 194 31040 2
159 299 47541 2
124 167 20708 2
93 338 31434 2
159 306 48654 4
90 157 14130 2
107 277 29639 8
187 292 54604 2
178 323 57494 2
133 192 25536 2
135 301 40635 2
138 278 38364 1
128 335 42880 2
130 140 18200 4
116 346 40136 2
106 353 37418 2
103 140 14420 2
97 377 36569 2
322 345 111090 6
125 311 38875 1
129 185 23865 1
