1000 2000 50
136 408 55488 6
120 306 36720 2
367 615 225705 2
173 535 92555 1
153 483 73899 2
422 686 289492 2
265 671 177815 1
98 164 16072 1
197 248 48856 1
387 415 160605 1
130 267 34710 2
268 720 192960 1
301 298 89698 2
260 250 65000 1
267 682 182094 1
220 553 121660 2
234 424 99216 2
207 225 46575 1
374 701 262174 1
186 440 81840 1
109 429 46761 2
107 383 40981 2
175 172 30100 6
108 562 60696 2
110 534 58740 2
229 926 212054 1
111 556 61716 2
108 455 49140 2
226 390 88140 1
221 321 70941 6
277 429 118833 1
275 410 112750 1
219 572 125268 1
251 675 169425 1
402 568 228336 2
158 618 97644 2
171 612 104652 2
148 343 50764 6
150 283 42450 4
160 777 124320 1
81 663 53703 1
209 538 112442 4
106 563 59678 10
182 462 84084 2
212 247 52364 1
172 490 84280 1
127 228 28956 1
145 335 48575 1
171 456 77976 1
196 585 114660 3
