1000 2000 100
128 327 41856 2
124 334 41416 2
113 377 42601 2
207 414 85698 2
171 585 100035 2
154 611 94094 2
157 696 109272 1
119 302 35938 4
211 515 108665 1
180 409 73620 1
157 587 92159 2
130 246 31980 2
130 383 49790 4
74 135 9990 1
121 459 55539 12
155 548 84940 2
205 382 78310 1
158 362 57196 12
138 511 70518 4
176 264 46464 2
175 477 83475 4
187 561 104907 2
174 531 92394 1
146 371 54166 14
145 298 43210 2
140 487 68180 2
499 722 360278 3
182 307 55874 3
160 417 66720 4
257 457 117449 2
155 317 49135 2
160 295 47200 1
141 379 53439 14
142 268 38056 1
143 552 78936 2
267 376 100392 1
291 379 110289 1
166 699 116034 2
232 684 158688 4
134 542 72628 2
141 518 73038 1
94 465 43710 1
277 498 137946 1
174 537 93438 4
176 153 26928 4
162 308 49896 2
199 413 82187 3
156 552 86112 1
193 547 105571 1
132 671 88572 2
193 648 125064 2
126 553 69678 2
192 622 119424 3
165 461 76065 4
178 193 34354 4
133 504 67032 16
347 532 184604 2
273 351 95823 2
351 415 145665 2
390 663 258570 6
125 483 60375 2
114 348 39672 2
187 295 55165 2
142 398 56516 2
119 286 34034 2
113 284 32092 2
120 243 29160 2
210 323 67830 2
135 385 51975 2
158 612 96696 2
136 483 65688 2
140 584 81760 2
169 504 85176 2
97 547 53059 2
170 384 65280 6
195 340 66300 2
136 349 47464 18
89 208 18512 2
92 184 16928 2
143 352 50336 30
288 266 76608 1
291 325 94575 3
137 348 47676 16
147 606 89082 2
127 329 41783 2
115 347 39905 6
195 577 112515 4
319 733 233827 4
295 277 81715 2
241 482 116162 1
279 506 141174 1
232 358 83056 1
224 634 142016 1
183 411 75213 4
250 395 98750 1
329 614 202006 2
308 377 116116 4
282 298 84036 4
177 209 36993 1
222 325 72150 2
