500 1000 50
91 173 15743 3
85 171 14535 6
119 134 15946 2
133 181 24073 2
129 293 37797 1
125 163 20375 1
117 309 36153 1
50 148 7400 1
119 187 22253 1
126 160 20160 1
122 183 22326 1
130 283 36790 1
131 367 48077 1
118 282 33276 1
118 208 24544 1
120 194 23280 1
108 313 33804 1
109 319 34771 1
139 224 31136 1
126 212 26712 1
134 164 21976 1
135 133 17955 1
70 294 20580 1
182 310 56420 1
133 160 21280 1
119 348 41412 1
110 328 36080 1
108 319 34452 1
104 170 17680 1
148 343 50764 1
79 324 25596 1
94 179 16826 4
75 168 12600 2
59 165 9735 1
104 285 29640 2
49 285 13965 2
63 117 7371 1
100 291 29100 1
125 239 29875 1
72 175 12600 4
75 144 10800 4
76 266 20216 2
70 191 13370 2
91 222 20202 9
86 316 27176 2
97 197 19109 8
99 157 15543 2
52 111 5772 1
107 340 36380 1
50 232 11600 2
