500 1000 50
76 264 20064 2
81 259 20979 2
73 137 10001 6
63 215 13545 2
65 185 12025 2
66 179 11814 2
69 193 13317 2
92 236 21712 2
95 184 17480 4
103 335 34505 1
83 181 15023 2
75 167 12525 2
81 301 24381 6
103 164 16892 2
87 193 16791 6
88 184 16192 4
100 209 20900 4
82 207 16974 2
72 289 20808 2
125 249 31125 1
101 173 17473 2
95 171 16245 6
80 337 26960 2
93 277 25761 4
66 93 6138 3
120 304 36480 1
44 274 12056 1
98 388 38024 6
103 155 15965 4
42 89 3738 1
108 173 18684 2
99 108 10692 2
98 164 16072 2
79 233 18407 3
80 155 12400 6
113 120 13560 3
61 198 12078 2
63 215 13545 2
81 282 22842 8
89 250 22250 2
116 359 41644 1
107 240 25680 2
120 176 21120 1
121 149 18029 4
114 143 16302 1
132 199 26268 1
58 126 7308 4
65 188 12220 4
66 208 13728 2
73 199 14527 2
