1000 2000 100
182 469 85358 1
214 411 87954 2
207 262 54234 1
93 425 39525 1
229 598 136942 1
124 527 65348 4
249 359 89391 3
153 652 99756 10
133 369 49077 10
300 388 116400 1
299 639 191061 1
184 388 71392 6
151 430 64930 3
222 742 164724 1
237 399 94563 2
197 484 95348 10
218 290 63220 2
423 693 293139 2
371 680 252280 2
379 615 233085 2
128 226 28928 2
311 634 197174 2
387 643 248841 1
431 610 262910 2
342 607 207594 2
324 371 120204 2
313 615 192495 1
294 647 190218 12
279 333 92907 2
146 235 34310 2
294 670 196980 8
242 625 151250 4
348 613 213324 2
376 635 238760 2
115 121 13915 8
332 680 225760 2
270 699 188730 2
275 664 182600 2
244 575 140300 4
307 732 224724 2
416 750 312000 6
375 675 253125 2
330 660 217800 4
257 321 82497 2
257 693 178101 2
357 626 223482 4
284 681 193404 2
318 295 93810 2
247 256 63232 2
375 598 224250 4
299 365 109135 2
250 379 94750 4
175 241 42175 2
352 707 248864 2
258 655 168990 6
514 611 314054 2
519 686 356034 2
185 238 44030 2
405 451 182655 8
358 446 159668 6
333 446 148518 34
199 181 36019 2
186 183 34038 2
299 352 105248 4
290 315 91350 2
132 291 38412 4
126 383 48258 2
477 658 313866 1
331 658 217798 4
253 652 164956 1
259 641 166019 6
298 646 192508 2
261 270 70470 2
332 669 222108 3
200 310 62000 4
262 598 156676 3
296 676 200096 1
240 709 170160 4
238 282 67116 2
411 676 277836 2
276 648 178848 2
231 680 157080 2
191 286 54626 8
298 643 191614 8
435 682 296670 2
308 722 222376 1
370 686 253820 1
239 736 175904 2
286 651 186186 4
226 221 49946 2
337 460 155020 2
257 726 186582 2
225 298 67050 2
231 371 85701 2
421 445 187345 2
229 731 167399 2
366 416 152256 2
290 429 124410 2
326 624 203424 2
223 344 76712 2
