1000 2000 50
239 508 121412 3
170 623 105910 2
172 296 50912 2
155 274 42470 1
220 329 72380 2
133 490 65170 4
145 297 43065 2
129 148 19092 2
155 173 26815 1
185 278 51430 2
284 584 165856 4
173 244 42212 2
333 595 198135 2
141 572 80652 4
131 439 57509 1
143 597 85371 2
95 429 40755 2
151 500 75500 2
129 525 67725 2
162 430 69660 2
137 646 88502 6
133 544 72352 2
161 401 64561 2
190 426 80940 2
147 410 60270 4
163 396 64548 5
150 279 41850 2
176 230 40480 2
141 277 39057 4
97 409 39673 2
145 365 52925 1
186 306 56916 1
169 341 57629 4
151 560 84560 1
176 620 109120 2
210 559 117390 2
173 411 71103 1
177 356 63012 2
195 395 77025 1
103 136 14008 1
226 398 89948 1
250 326 81500 2
260 325 84500 2
161 407 65527 2
205 420 86100 1
141 401 56541 2
186 639 118854 2
162 378 61236 4
147 267 39249 2
201 337 67737 2
