ID,WIDTH,HEIGHT,GROUP
0,25,77,0
1,32,9,1
2,23,11,2
3,37,57,3
4,15,72,4
5,15,8,5
6,12,4,6
7,10,30,7
8,17,33,8
9,4,8,9
10,45,11,10
11,59,19,11
12,55,52,12
13,24,13,13
14,6,11,14
15,28,71,15
16,16,63,16
17,11,7,17
18,31,12,18
19,16,3,19
20,38,21,20
21,7,18,21
22,23,4,22
23,5,10,23
24,5,12,24
25,26,31,25
26,23,18,26
27,48,23,27
28,20,20,28
29,27,53,29
30,49,86,30
31,54,10,31
32,58,29,32
33,26,20,33
34,29,26,34
35,12,6,35
36,93,20,36
37,50,41,37
38,27,23,38
39,33,17,39
40,21,18,40
41,64,14,41
42,26,4,42
43,57,15,43
44,14,41,44
45,18,74,45
46,34,51,46
47,18,20,47
48,9,61,48
