ID,WIDTH,HEIGHT,GROUP
0,12,12,0
1,12,47,1
2,10,8,2
3,14,37,3
4,71,35,4
5,27,27,5
6,18,7,6
7,13,2,7
8,2,13,8
9,7,40,9
10,1,2,10
11,15,40,11
12,15,80,12
13,19,18,13
14,20,8,14
15,12,6,15
16,25,4,16
17,6,2,17
18,17,76,18
19,17,35,19
20,21,21,20
21,1,4,21
22,2,1,22
23,8,34,23
24,25,7,24
25,23,24,25
26,26,12,26
27,11,11,27
28,5,22,28
29,5,19,29
30,19,3,30
31,12,7,31
32,66,16,32
33,12,44,33
34,12,19,34
35,20,10,35
36,4,18,36
37,4,1,37
38,36,6,38
39,30,74,39
40,37,49,40
41,19,9,41
42,39,21,42
43,5,19,43
44,8,19,44
45,6,16,45
46,19,16,46
47,7,26,47
48,29,37,48
49,105,32,49
50,5,25,50
51,14,78,51
52,2,5,52
53,9,15,53
54,5,8,54
55,4,8,55
56,9,16,56
57,7,3,57
58,19,4,58
59,8,25,59
60,37,11,60
61,50,16,61
62,101,19,62
63,2,12,63
64,15,35,64
65,3,4,65
66,10,2,66
67,22,40,67
68,7,16,68
69,5,14,69
70,3,9,70
71,1,3,71
72,36,7,72
73,2,9,73
74,17,16,74
75,7,18,75
76,7,32,76
77,68,16,77
78,10,20,78
79,9,29,79
80,10,22,80
81,9,16,81
82,22,18,82
83,48,11,83
84,11,11,84
85,10,13,85
86,1,3,86
87,17,76,87
88,6,1,88
89,12,18,89
90,70,20,90
91,31,14,91
92,20,22,92
93,18,8,93
94,11,32,94
95,14,15,95
96,11,62,96
