ID,PROFIT,WIDTH,HEIGHT,COPIES
0,396,11,36,2
1,612,34,18,2
2,858,33,26,4
3,2208,46,48,1
4,2058,42,49,2
5,1152,36,32,2
6,702,27,26,1
7,450,18,25,3
8,900,45,20,4
9,429,11,39,1
10,507,13,39,4
11,899,31,29,3
12,1496,34,44,3
13,294,21,14,4
14,1276,29,44,4
15,882,49,18,2
16,2064,43,48,3
17,504,36,14,3
18,912,48,19,2
19,1428,34,42,2
20,1326,39,34,1
21,725,29,25,4
22,1122,34,33,2
23,1470,35,42,3
24,1215,45,27,2
25,160,16,10,2
26,740,37,20,4
27,902,22,41,3
28,1540,44,35,4
29,2401,49,49,3
30,650,25,26,3
31,294,21,14,2
32,609,29,21,1
33,825,33,25,2
34,572,44,13,2
35,784,16,49,3
36,1326,34,39,1
37,624,16,39,1
38,242,11,22,2
39,945,35,27,2
