ID,PROFIT,WIDTH,HEIGHT,COPIES
0,1632,48,34,3
1,1189,41,29,3
2,266,19,14,3
3,792,18,44,3
4,352,16,22,3
5,602,14,43,1
6,1428,34,42,3
7,374,11,34,1
8,1178,38,31,1
9,810,18,45,3
10,992,32,31,3
11,1806,42,43,3
12,1085,35,31,3
13,405,15,27,4
14,1376,43,32,2
15,629,37,17,2
16,891,33,27,4
17,1440,36,40,4
18,1978,46,43,2
19,752,47,16,3
20,630,35,18,4
21,748,17,44,4
22,308,14,22,3
23,1305,29,45,1
24,1978,46,43,2
25,858,22,39,1
26,800,20,40,1
27,1462,43,34,3
28,385,11,35,3
29,900,30,30,1
30,1120,35,32,4
31,726,22,33,1
32,364,13,28,2
33,630,42,15,3
34,1400,35,40,2
35,1012,46,22,3
36,1776,37,48,1
37,820,20,41,1
38,345,23,15,1
39,798,42,19,3
