        30       100       100
      1517        37        41         3
      1102        29        38         4
       864        18        48         4
      1457        47        31         3
      1350        45        30         4
      1568        32        49         3
      1470        49        30         2
       810        18        45         1
      1530        45        34         4
       595        17        35         1
      1189        29        41         4
      1927        47        41         2
       544        17        32         1
       405        27        15         4
       483        23        21         1
       650        25        26         2
      1276        29        44         1
       357        21        17         4
      1170        45        26         2
       165        11        15         1
       598        46        13         1
      1677        39        43         1
       680        20        34         3
       960        24        40         2
      1080        36        30         3
       476        28        17         4
       470        47        10         2
       918        27        34         1
       351        13        27         1
       240        10        24         1
