        30       100       100
       492        41        12         1
       380        20        19         4
       380        20        19         2
       704        22        32         2
       336        12        28         2
       492        41        12         3
      1927        47        41         4
      1400        40        35         4
       420        10        42         2
       696        24        29         3
       962        37        26         1
       608        19        32         4
      1470        42        35         2
       480        24        20         3
       560        14        40         3
       722        19        38         1
       961        31        31         1
       621        27        23         1
      1160        29        40         4
      2162        47        46         3
       420        12        35         3
       350        10        35         3
       667        23        29         1
      1598        34        47         3
      1290        30        43         3
      1702        37        46         1
       340        10        34         3
      1248        32        39         4
      1920        40        48         4
       289        17        17         1
