ID,WIDTH,HEIGHT,COPIES
0,290,350,4
1,328,292,3
2,240,206,1
3,246,126,9
4,250,279,7
5,71,353,9
6,67,127,9
7,209,275,1
8,317,264,6
9,119,228,2
10,331,50,4
11,138,163,7
12,60,339,2
13,187,298,1
14,73,104,7
15,164,123,8
16,250,189,5
17,228,143,5
18,154,345,5
19,70,297,4
20,198,376,8
21,170,100,7
22,295,292,6
23,238,177,7
24,195,187,3
25,252,132,5
26,313,148,6
27,175,162,6
28,44,206,5
29,164,366,6
30,161,339,9
31,62,81,5
32,304,165,2
33,284,302,6
34,261,376,6
35,183,80,4
36,224,163,2
37,212,366,8
38,46,75,6
39,66,158,5
40,179,207,7
41,314,98,2
42,96,107,1
43,320,380,3
44,211,82,3
45,252,53,6
46,74,183,6
47,274,72,1
48,65,240,7
49,229,321,4
50,265,280,7
