ID,WIDTH,HEIGHT,PROFIT
0,461,550,63388
1,339,593,116596
2,535,486,70203
3,376,711,181789
4,709,451,236622
5,527,385,62898
6,670,343,89626
7,187,306,36623
8,129,397,36362
9,354,486,80861
10,351,312,55852
11,336,733,152699
12,436,440,120860
13,503,571,183817
14,258,415,69596
15,403,539,60821
16,666,508,250363
17,413,297,51518
18,310,426,54145
19,642,98,37121
20,389,165,39153
21,230,367,45582
22,377,289,54477
23,174,709,50581
24,419,327,98650
25,268,315,32080
26,352,523,57070
27,206,411,45720
28,377,395,78925
29,450,233,60813
30,233,659,73703
31,344,300,33024
32,657,632,211765
33,395,520,110917
34,201,317,29310
35,551,345,119760
36,618,605,269201
37,119,325,20885
38,698,265,107283
39,601,456,142510
40,549,251,55120
41,115,585,17492
42,621,204,76011
43,156,235,26396
44,489,289,66421
45,176,491,32839
46,544,495,72706
47,102,702,52987
