ID,WIDTH,HEIGHT,PROFIT
0,178,482,57484
1,688,596,127115
2,177,917,108748
3,220,688,86276
4,328,933,180555
5,536,557,214958
6,435,760,148770
7,198,627,43452
8,820,601,295693
9,411,537,141253
10,439,454,105633
11,648,215,78020
12,156,539,58018
13,153,604,33269
14,309,401,49564
15,271,198,22000
16,544,528,94787
17,338,778,65741
18,467,743,170021
19,184,374,41978
20,376,149,19049
21,559,190,58416
22,648,531,147958
23,744,670,328997
24,480,813,241949
25,603,1024,456930
26,352,701,93766
27,555,307,115862
28,226,150,18646
29,180,1000,50401
30,742,381,98946
31,545,783,298715
32,149,723,26932
33,822,173,66837
34,754,825,329687
35,793,263,104280
36,234,599,53264
37,544,1054,149078
38,445,762,183109
39,258,383,39526
40,364,153,27846
41,813,136,60813
42,724,331,71894
43,131,640,49466
