ID,WIDTH,HEIGHT,PROFIT
0,332,920,146612
1,501,536,85932
2,540,869,328482
3,637,953,418873
4,227,538,31753
5,475,688,209152
6,605,156,48134
7,442,373,112109
8,404,958,282534
9,282,443,81202
10,382,730,105967
11,517,434,103214
12,440,554,151132
13,422,242,46978
14,403,577,155796
15,299,570,47721
16,545,529,155685
17,264,729,69285
18,579,339,82439
19,733,242,62086
20,349,877,177523
21,724,561,142158
22,279,196,21874
23,454,444,76599
24,280,958,96567
25,452,674,225440
26,360,448,116122
27,422,585,160466
28,345,1000,203550
29,462,247,78739
30,649,242,50259
31,96,913,51713
32,212,829,110722
33,307,971,86449
34,677,919,385742
35,123,320,12989
36,593,446,148108
37,119,239,16781
38,406,1053,218035
39,465,614,74233
40,721,602,316851
41,686,958,466604
42,312,718,98568
43,480,636,183169
44,387,609,80133
45,283,1044,103409
46,167,224,18330
47,304,523,69957
48,664,762,242865
49,602,463,114278
50,420,686,121011
51,283,446,41652
52,96,147,10302
