ID,WIDTH,HEIGHT,COPIES
0,158,73,6
1,100,179,9
2,150,227,4
3,83,181,8
4,68,298,5
5,23,107,4
6,41,174,2
7,101,236,6
8,70,78,2
9,89,104,2
10,28,279,5
11,89,249,3
12,55,236,2
13,129,287,3
14,136,236,2
15,171,117,2
16,74,309,6
17,60,230,6
18,26,92,9
19,28,217,1
20,55,284,6
21,64,82,3
22,89,129,7
23,154,54,9
24,126,172,9
25,146,138,4
26,79,133,8
27,29,304,2
28,174,200,8
29,148,115,3
30,60,207,8
31,135,231,9
32,171,82,8
33,82,263,8
34,109,340,8
35,131,350,6
36,40,135,4
37,146,328,1
38,38,297,7
39,106,149,8
40,138,235,5
41,128,51,1
42,175,119,3
