ID,WIDTH,HEIGHT,PROFIT
0,447,880,192747
1,415,157,35836
2,616,350,114268
3,367,884,227100
4,323,423,38257
5,578,824,347679
6,654,366,88565
7,609,644,274538
8,223,567,41726
9,612,884,221814
10,110,565,29832
11,346,555,101776
12,180,193,10423
13,528,809,243477
14,307,826,119184
15,724,809,351430
16,728,827,192658
17,213,658,46251
18,207,1012,108932
19,551,495,130918
20,407,334,81563
21,154,692,52219
22,358,606,75932
23,242,209,24278
24,346,459,68291
25,230,1004,140862
26,401,310,44752
27,610,687,284968
28,485,524,76243
29,437,155,39287
30,433,692,191768
31,371,453,89074
32,296,1012,128808
33,324,750,160381
34,448,821,205973
35,733,403,112252
36,154,226,11486
37,364,149,29830
38,416,864,107828
39,325,457,78719
40,128,849,44556
41,99,989,45040
42,365,730,127896
43,428,184,28351
44,706,664,220329
45,154,913,91392
46,459,683,197504
47,549,407,71502
48,298,1088,103752
49,386,1108,230952
50,434,976,135547
51,431,850,194166
52,472,866,126714
53,606,984,429339
54,326,486,115659
55,136,764,33250
56,235,648,63958
57,665,773,282725
58,549,302,104453
