ID,WIDTH,HEIGHT,PROFIT
0,641,401,102817
1,1142,148,50705
2,657,553,141696
3,459,270,59487
4,679,495,245357
5,165,501,56213
6,159,153,17273
7,980,498,209858
8,585,403,77800
9,326,170,36023
10,531,491,187720
11,317,441,44736
12,422,333,53400
13,222,479,38282
14,870,493,124384
15,663,413,90361
16,624,428,192292
17,370,523,98691
18,205,414,42435
19,636,493,222620
20,1117,544,261289
21,302,555,73749
22,649,402,177411
23,461,299,51001
24,428,618,92577
25,710,559,254010
26,460,281,60753
27,1080,571,259006
28,870,451,270736
29,549,619,115543
30,228,522,47607
31,243,537,93954
32,580,679,220540
33,183,102,11013
34,975,217,93093
35,713,93,33818
