ID,WIDTH,HEIGHT,PROFIT
0,889,293,138053
1,827,141,65300
2,536,166,28473
3,331,321,61626
4,643,611,278940
5,697,183,77807
6,709,591,121516
7,517,351,107066
8,338,82,9701
9,690,139,65219
10,572,162,57452
11,849,437,96464
12,371,570,133227
13,853,582,273046
14,627,523,186915
15,717,219,43967
16,856,474,292136
17,665,380,106134
18,938,179,85631
19,439,274,52926
20,491,600,162031
21,381,245,66275
22,822,372,82562
23,129,453,22207
24,374,174,40998
25,724,489,134534
26,191,505,36653
27,213,529,50705
28,393,395,57437
29,919,511,117403
30,894,544,223715
31,293,273,41595
32,564,445,105412
33,866,616,160037
34,627,504,151684
35,487,105,12784
36,727,465,138603
37,826,342,138422
38,882,522,280847
39,296,587,83401
40,233,465,37921
41,288,277,44675
42,855,354,148309
43,773,173,60179
44,935,397,133631
45,137,386,19038
46,440,602,156280
47,905,506,311393
