ID,WIDTH,HEIGHT,COPIES
0,46,129,3
1,71,204,9
2,26,330,5
3,15,72,6
4,81,180,7
5,63,239,3
6,54,302,6
7,15,214,3
8,72,93,2
9,59,154,9
10,90,266,6
11,41,151,3
12,70,281,1
13,50,268,8
14,46,285,7
15,49,263,2
16,80,341,4
17,65,390,5
18,89,52,5
19,85,185,1
20,74,289,2
21,18,379,8
22,59,139,8
23,39,52,8
24,83,98,3
25,56,355,5
26,76,142,7
27,81,371,4
28,41,249,8
29,59,233,8
30,38,279,3
31,82,170,9
32,47,233,1
33,77,274,4
34,57,224,7
35,42,313,6
36,37,135,7
37,86,275,2
38,46,357,5
39,19,270,1
40,52,165,9
41,82,124,9
42,68,257,2
43,54,56,3
