ID,WIDTH,HEIGHT,PROFIT
0,651,157,59281
1,466,433,127121
2,174,176,7963
3,640,633,157997
4,765,625,181688
5,260,329,23096
6,343,958,121580
7,343,858,214835
8,593,773,334624
9,384,203,49890
10,660,550,156091
11,230,886,52983
12,123,1049,42579
13,621,861,342196
14,645,370,157510
15,290,672,132519
16,637,446,176144
17,215,460,71209
18,623,437,117068
19,191,519,66417
20,202,532,62330
21,432,500,159841
22,757,476,190976
23,435,217,65133
24,479,684,180200
25,762,1051,576621
26,781,1016,444358
27,669,148,29704
28,797,168,76321
29,772,880,475552
30,438,575,171259
31,139,430,27495
32,720,214,97071
33,551,505,144693
34,636,682,182176
35,241,1036,87387
36,487,228,57739
37,444,364,106667
38,348,1098,213979
39,730,937,465127
40,747,850,425417
41,785,932,380443
42,596,922,192330
43,157,188,15349
44,172,156,11002
45,219,891,50734
46,643,670,176633
47,554,1024,329032
48,145,643,27971
49,387,187,44869
50,562,438,115694
51,806,152,66157
52,245,528,60800
53,711,152,73489
