ID,WIDTH,HEIGHT,PROFIT
0,265,213,37819
1,252,584,101546
2,1083,284,224528
3,335,539,93894
4,411,343,50751
5,290,699,50678
6,855,365,143555
7,1025,660,169125
8,504,409,70087
9,409,463,71960
10,556,113,22619
11,704,453,111620
12,523,157,36950
13,576,583,114175
14,1087,672,284881
15,776,435,175532
16,566,357,103052
17,407,548,69142
18,1024,664,380765
19,853,100,38385
20,978,701,329078
21,295,267,35445
22,755,322,123987
23,889,182,48540
24,466,185,41381
25,532,459,119653
26,599,628,221942
27,294,549,58107
28,240,629,49817
29,436,550,64747
30,932,588,208247
31,1078,592,350997
32,1129,194,144558
33,476,306,43697
34,307,115,10945
35,950,239,108984
36,694,642,191586
37,394,227,29515
38,593,420,164380
39,463,346,89711
40,377,237,46462
41,336,687,96950
42,1081,660,470884
43,1140,590,349752
44,613,371,65953
45,972,450,214327
46,622,194,67575
47,576,483,130758
