ID,WIDTH,HEIGHT,PROFIT
0,616,492,160629
1,167,611,48978
2,1129,469,312406
3,974,167,42292
4,834,457,133399
5,891,276,118040
6,432,205,32768
7,733,398,160454
8,487,997,126241
9,835,576,168336
10,767,648,303180
11,944,748,487218
12,693,1143,475260
13,241,690,78157
14,915,880,467016
15,461,585,70119
16,1034,559,150282
17,205,210,25400
18,422,681,140818
19,296,760,141725
20,178,674,59986
21,321,275,56496
22,217,654,46833
23,267,725,50330
24,477,798,277872
25,292,685,112012
26,251,350,58860
27,616,662,207974
28,632,251,58694
29,553,1032,348125
30,1115,392,201057
31,636,606,185000
32,298,490,91993
33,904,825,492229
34,686,598,151785
35,293,571,48518
36,697,228,50854
37,1133,614,368701
38,706,1111,447089
39,841,674,226734
40,273,566,105073
41,639,1114,199317
42,453,518,136100
43,478,258,53030
44,284,1114,218300
