Path,Best known solution value,cui2015 / Solution value
cui2012/1A-1,2379877,2355603
cui2012/1A-2,2719374,2719374
cui2012/1A-3,1941102,1941102
cui2012/1A-4,1953262,1943156
cui2012/1A-5,2448987,2448987
cui2012/1A-6,2344190,2344190
cui2012/1A-7,1742394,1736697
cui2012/1A-8,2406020,2405059
cui2012/1A-9,2616023,2603175
cui2012/1A-10,1565807,1556298
cui2012/2A-1,1629992,1628589
cui2012/2A-2,1670361,1668525
cui2012/2A-3,1716125,1715258
cui2012/2A-4,2080766,2080766
cui2012/2A-5,2851232,2851232
cui2012/2A-6,1852514,1850810
cui2012/2A-7,2260425,2260425
cui2012/2A-8,2500372,2500372
cui2012/2A-9,1970342,1970342
cui2012/2A-10,1537319,1537319
cui2012/3A-1,1657343,1657343
cui2012/3A-2,1719429,1719429
cui2012/3A-3,2979949,2979949
cui2012/3A-4,1479246,1479246
cui2012/3A-5,2839978,2833063
cui2012/3A-6,2102556,2102556
cui2012/3A-7,3027351,3027351
cui2012/3A-8,2030782,2030782
cui2012/3A-9,2579544,2579544
cui2012/3A-10,1620035,1620035
cui2012/1B-1,2459666,2459666
cui2012/1B-2,1929169,1929169
cui2012/1B-3,2350317,2350317
cui2012/1B-4,2200602,2200602
cui2012/1B-5,1645565,1645565
cui2012/1B-6,2579964,2577830
cui2012/1B-7,2528508,2528508
cui2012/1B-8,2012684,2009580
cui2012/1B-9,2390654,2384034
cui2012/1B-10,1590575,1590575
cui2012/2B-1,2962308,2962308
cui2012/2B-2,2153444,2151768
cui2012/2B-3,2789595,2788539
cui2012/2B-4,2697175,2697175
cui2012/2B-5,2045042,2045042
cui2012/2B-6,2124489,2124489
cui2012/2B-7,2018333,2018333
cui2012/2B-8,2484155,2484155
cui2012/2B-9,2449526,2449526
cui2012/2B-10,1609830,1609830
cui2012/3B-1,2106890,2106890
cui2012/3B-2,2493896,2493896
cui2012/3B-3,2333838,2333838
cui2012/3B-4,2519139,2518391
cui2012/3B-5,2331385,2331385
cui2012/3B-6,1901396,1901396
cui2012/3B-7,1642788,1642788
cui2012/3B-8,2620072,2620072
cui2012/3B-9,2152979,2152979
cui2012/3B-10,1559129,1559129
