ID,WIDTH,HEIGHT,GROUP
0,25,16,0
1,43,31,1
2,43,31,2
3,25,16,3
4,25,16,4
5,34,24,5
6,41,30,6
7,12,21,7
8,34,24,8
9,11,19,9
10,14,23,10
11,14,23,11
12,34,24,12
13,23,33,13
14,11,19,14
15,11,19,15
16,24,15,16
17,24,15,17
18,18,29,18
19,25,16,19
20,39,29,20
21,38,28,21
22,27,17,22
23,11,19,23
24,23,33,24
25,36,26,25
26,39,29,26
27,17,9,27
28,34,24,28
29,32,22,29
30,43,31,30
31,21,31,31
32,12,21,32
33,37,27,33
34,43,31,34
35,39,29,35
36,39,29,36
37,14,23,37
38,18,29,38
39,32,22,39
40,36,26,40
41,41,30,41
42,37,27,42
43,35,25,43
44,23,33,44
45,35,25,45
46,38,28,46
47,21,31,47
48,23,33,48
49,27,17,49
50,38,28,50
51,35,25,51
52,21,31,52
53,24,15,53
54,38,28,54
55,36,26,55
56,36,26,56
57,12,21,57
58,32,22,58
59,37,27,59
60,18,29,60
61,14,23,61
